1,4,0.85
1,10,1.50
1,11,1.50
1,12,1.50
1,14,1.00
1,16,5.00
1,17,1.00
1,18,1.00
1,19,1.00
2,4,1.25
2,9,3.04
2,11,1.50
2,12,2.50
2,14,1.00
2,16,5.00
2,17,1.00
2,18,1.00
2,19,1.00
3,4,1.85
3,9,4.22
3,10,1.50
3,14,1.00
3,16,5.00
3,17,1.00
3,18,1.00
3,19,1.00
4,5,3.33
4,20,6.00
5,2,2.90
5,3,1.70
5,6,2.70
5,8,1.80
6,2,1.70
6,3,1.60
6,8,1.80
7,5,2.00
7,7,0.80
7,20,7.00
8,6,5.95
8,15,1.00
9,5,4.30
9,20,8.60
10,6,7.65
10,8,1.05
10,15,1.00
11,5,6.40
11,20,6.20
12,4,2.55
12,5,5.20
12,5,5.22
12,7,3.59
12,20,9.40
13,1,3.50
13,3,1.50
13,8,2.10
13,13,0.80
14,1,7.70
14,3,6.50
14,5,4.50
14,6,5.70
14,8,2.30
14,9,1.74
15,5,4.20
15,7,2.21
15,16,4.00
15,20,6.50
16,2,0.40
16,16,4.00
17,3,0.70
17,5,7.65
17,7,0.80
17,20,6.30
18,3,3.20
18,4,3.50
18,7,1.60
18,13,1.60
19,3,1.30
19,5,8.20
19,8,1.30
20,1,1.80
20,3,3.50
20,8,1.65
20,13,1.60
